tag,question_index,image_index,type,question,answer_gt,answer_pred,correct
GT,0,0,exist,Are there any other things that are the same shape as the big metallic object?,no,yes,0
GT,1,0,exist,Is there a big brown object of the same shape as the green thing?,yes,yes,1
GT,2,0,query_attr,What is the material of the big purple object?,metal,metal,1
GT,3,0,exist,There is a small gray block; are there any spheres to the left of it?,yes,<ERROR:AssertionError>,0
GT,4,0,query_attr,Is the purple thing the same shape as the large gray rubber thing?,no,<ERROR:NotImplementedError>,0
GT,5,0,count,What number of other objects are the same size as the purple shiny object?,2,3,0
GT,6,0,count,How many objects are either metal things behind the small green rubber cylinder or small green rubber objects?,2,<ERROR:AssertionError>,0
GT,7,0,query_attr,What is the color of the large shiny sphere?,purple,purple,1
GT,8,0,query_attr,What is the thing in front of the small metallic object made of?,rubber,<ERROR:AssertionError>,0
GT,9,0,query_attr,Does the green rubber object have the same shape as the gray thing that is on the right side of the big purple object?,no,<ERROR:AssertionError>,0
GT,10,1,query_attr,The other small shiny thing that is the same shape as the tiny yellow shiny object is what color?,cyan,<ERROR:ValueError>,0
GT,11,1,exist,Is there anything else that has the same color as the large shiny cube?,yes,yes,1
GT,12,1,count,How many metallic objects are big blue cubes or blue objects?,2,2,1
GT,13,1,query_attr,Is the color of the big matte object the same as the large metal cube?,yes,<ERROR:AssertionError>,0
GT,14,1,count,Are there more shiny things that are to the left of the yellow rubber thing than small red spheres?,yes,<ERROR:AssertionError>,0
GT,15,1,count,What number of other things are the same material as the big gray cylinder?,6,7,0
GT,16,1,count,How many large things are either cyan metallic cylinders or yellow blocks?,0,0,1
GT,17,1,query_attr,Is the material of the yellow block the same as the yellow cylinder?,no,<ERROR:NotImplementedError>,0
GT,18,1,count,How many tiny yellow matte things are to the right of the purple thing in front of the small cyan shiny cube?,0,<ERROR:AssertionError>,0
GT,19,1,exist,Is there another tiny green object that has the same shape as the green shiny object?,no,yes,0
GT,20,2,query_attr,There is a yellow thing to the right of the rubber thing on the left side of the gray rubber cylinder; what is its material?,metal,<ERROR:AssertionError>,0
GT,21,2,query_attr,Is the color of the metal block that is right of the yellow rubber object the same as the large metal cylinder?,yes,<ERROR:AssertionError>,0
GT,22,2,query_attr,Do the large metal sphere and the matte block have the same color?,yes,<ERROR:AssertionError>,0
GT,23,2,exist,Are there any large matte blocks of the same color as the large metal ball?,yes,yes,1
GT,24,2,count,Is the number of gray objects in front of the large yellow metal object greater than the number of yellow spheres to the right of the small metal sphere?,yes,<ERROR:AssertionError>,0
GT,25,2,query_attr,Does the large yellow sphere have the same material as the sphere in front of the tiny blue object?,yes,<ERROR:AssertionError>,0
GT,26,2,query_attr,The tiny shiny cylinder has what color?,brown,brown,1
GT,27,2,query_attr,There is a big metallic thing left of the tiny green object; what is its shape?,sphere,<ERROR:AssertionError>,0
GT,28,2,count,What number of yellow objects are big matte cubes or small metal objects?,1,1,1
GT,29,2,query_attr,There is another thing that is the same material as the gray object; what is its color?,yellow,<ERROR:ValueError>,0
GT,30,3,query_attr,Do the small shiny object and the matte cylinder have the same color?,yes,<ERROR:AssertionError>,0
GT,31,3,exist,Are there any tiny matte spheres that have the same color as the big cylinder?,no,no,1
GT,32,3,count,What number of cylinders are gray objects or tiny brown matte objects?,1,3,0
GT,33,3,exist,Are there any large blue metallic things that have the same shape as the small brown matte object?,yes,yes,1
GT,34,3,count,How many other objects are there of the same color as the matte cylinder?,1,2,0
GT,35,3,count,Is the number of brown cylinders in front of the brown matte cylinder less than the number of brown rubber cylinders?,no,<ERROR:AssertionError>,0
GT,36,3,count,What number of gray matte blocks are there?,1,1,1
GT,37,3,count,What number of other small balls have the same material as the yellow ball?,0,1,0
GT,38,3,count,What number of objects are either big objects that are behind the big gray block or tiny brown rubber balls?,3,<ERROR:AssertionError>,0
GT,39,3,count,Are there fewer large purple spheres that are to the right of the big blue thing than tiny brown metal cylinders that are left of the matte cylinder?,yes,<ERROR:AssertionError>,0
GT,40,4,query_attr,There is a big gray object that is the same shape as the purple rubber object; what is it made of?,rubber,rubber,1
GT,41,4,exist,Is there a metallic object left of the gray object that is behind the large cylinder that is in front of the green matte object?,no,<ERROR:AssertionError>,0
GT,42,4,query_attr,There is a red object; does it have the same shape as the big object that is left of the big rubber ball?,no,<ERROR:AssertionError>,0
GT,43,4,exist,Is there any other thing that has the same color as the small matte sphere?,no,yes,0
GT,44,4,query_attr,Is the color of the object to the left of the small sphere the same as the cylinder right of the purple thing?,no,<ERROR:AssertionError>,0
GT,45,4,exist,Are any tiny green metal things visible?,no,no,1
GT,46,4,exist,Is there a small green thing that has the same material as the large brown ball?,no,no,1
